Universal Studios;1
Warner Animation;3
DreamWorks;5
Pixar Studios;7
Paramount Pictures;9
Columbia Pictures;11
20th Century Fox;13
MGM Studios;15
Lionsgate Films;17
Legendary Pictures;19
Illumination Entertainment;21
Sony Pictures;23
New Line Cinema;25
Focus Features;27
Amblin Entertainment;29
Universal Pictures;31
Warner Bros Pictures;33
Global Studio;34
Tech Films;35
Innovative Cinema;36
Future Films;37
Bright Productions;38
Skyline Films;39
Apex Entertainment;40
Vertex Pictures;41
Summit Movies;42
Pioneer Films;43
Quantum Studios;44
Horizon Films;45
NextGen Pictures;46
Momentum Studios;47
Prime Films;48
Visionary Productions;49
Elite Films;50
Core Pictures;51
Stellar Films;52
Infinity Movies;53
Master Studio;63
Elite Cinemas;64
Test Studio;67
Tested Productions;68
Fix Entertainment;69
Group Studio;70
New Cinema;71
Extra Films;72
Future Visions;73
